         16168406 function calls (16154416 primitive calls) in 13.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 reduction.py:10(<module>)
     32/9    0.000    0.000    0.004    0.000 pyparsing.py:4447(leaveWhitespace)
        1    0.000    0.000    0.004    0.004 util.py:150(_get_soname)
       50    0.000    0.000    0.004    0.000 traceback.py:200(extract_stack)
       11    0.000    0.000    0.004    0.000 pyparsing.py:1893(parseString)
        1    0.000    0.000    0.004    0.004 __init__.py:186(_check_versions)
        1    0.000    0.000    0.004    0.004 module.py:12(parse_assembly)
       60    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(linspace)
      841    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
       53    0.000    0.000    0.004    0.000 inspect.py:3063(signature)
       88    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
   131/65    0.000    0.000    0.004    0.000 pyparsing.py:3363(copy)
      792    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
    28687    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
