         297657109 function calls (297643119 primitive calls) in 96.408 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42018    0.027    0.000    0.027    0.000 {method 'decode' of 'bytes' objects}
      518    0.001    0.000    0.027    0.000 re.py:179(search)
        1    0.000    0.000    0.027    0.027 random_graphs.py:11(<module>)
        1    0.000    0.000    0.026    0.026 textpath.py:1(<module>)
        1    0.000    0.000    0.025    0.025 index_tricks.py:1(<module>)
     10/9    0.000    0.000    0.024    0.003 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        6    0.000    0.000    0.024    0.004 __init__.py:35(load_module)
    12420    0.009    0.000    0.023    0.000 enum.py:267(__call__)
        1    0.000    0.000    0.023    0.023 __init__.py:189(<module>)
     1428    0.013    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.023    0.023 _base.py:1(<module>)
     7224    0.008    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     7911    0.013    0.000    0.022    0.000 abc.py:180(__instancecheck__)
    23656    0.021    0.000    0.021    0.000 {built-in method builtins.getattr}
      320    0.001    0.000    0.021    0.000 __init__.py:2026(_by_version)
     3701    0.006    0.000    0.021    0.000 numerictypes.py:365(issubdtype)
     4343    0.008    0.000    0.021    0.000 enum.py:803(__and__)
        1    0.000    0.000    0.021    0.021 __init__.py:10(<module>)
    78/66    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
    78/66    0.010    0.000    0.020    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.020    0.020 specifiers.py:4(<module>)
        1    0.000    0.000    0.020    0.020 defchararray.py:17(<module>)
        1    0.000    0.000    0.020    0.020 algebraicconnectivity.py:9(<module>)
        1    0.000    0.000    0.020    0.020 cm.py:19(<module>)
        1    0.000    0.000    0.019    0.019 _internal.py:6(<module>)
       72    0.002    0.000    0.019    0.000 __init__.py:1525(_preprocess_data)
        1    0.000    0.000    0.019    0.019 patches.py:1(<module>)
      320    0.002    0.000    0.019    0.000 __init__.py:2578(from_location)
      320    0.001    0.000    0.019    0.000 __init__.py:2032(<listcomp>)
        1    0.000    0.000    0.019    0.019 py3k.py:4(<module>)
      972    0.001    0.000    0.018    0.000 version.py:24(parse)
        1    0.000    0.000    0.018    0.018 axis.py:3(<module>)
        3    0.000    0.000    0.018    0.006 __init__.py:15(<module>)
        1    0.000    0.000    0.018    0.018 decorator.py:decorator-gen-535>:1(_random_state)
   122581    0.018    0.000    0.018    0.000 ffi.py:278(_dispose)
        1    0.000    0.000    0.018    0.018 pyparsing.py:75(<module>)
        1    0.000    0.000    0.018    0.018 parser.py:5(<module>)
     4228    0.018    0.000    0.018    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.017    0.017 lines.py:4(<module>)
        1    0.002    0.002    0.017    0.017 env.py:168(get_blocks)
        1    0.000    0.000    0.017    0.017 specifiers.py:275(Specifier)
     1308    0.006    0.000    0.017    0.000 version.py:198(__init__)
        1    0.000    0.000    0.017    0.017 feedparser.py:20(<module>)
        1    0.000    0.000    0.017    0.017 platform.py:10(<module>)
      150    0.000    0.000    0.017    0.000 cm.py:81(_generate_cmap)
        1    0.000    0.000    0.017    0.017 pyparsing.py:6379(pyparsing_common)
       64    0.002    0.000    0.016    0.000 colors.py:729(from_list)
     3127    0.010    0.000    0.016    0.000 inspect.py:2452(__init__)
       26    0.000    0.000    0.016    0.001 pyparsing.py:2779(__init__)
14747/14739    0.010    0.000    0.016    0.000 {method 'join' of 'str' objects}
     1506    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap>:403(cached)
      700    0.006    0.000    0.016    0.000 functools.py:44(update_wrapper)
        1    0.000    0.000    0.015    0.015 artist.py:1(<module>)
        1    0.000    0.000    0.015    0.015 kdtree.py:3(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:109(<module>)
      321    0.002    0.000    0.014    0.000 textwrap.py:414(dedent)
      714    0.011    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
   104220    0.014    0.000    0.014    0.000 {built-in method builtins.hash}
      841    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.014    0.014 __init__.py:219(<module>)
       27    0.000    0.000    0.014    0.001 pyparsing.py:3276(__init__)
      792    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.014    0.014 fromnumeric.py:3(<module>)
     7402    0.007    0.000    0.013    0.000 numerictypes.py:293(issubclass_)
        1    0.000    0.000    0.013    0.013 category.py:12(<module>)
        1    0.000    0.000    0.013    0.013 _add_newdocs.py:10(<module>)
